Year,Psi_1_Standardized,Psi_2_Standardized,Raw_Component_1,Raw_Component_2,Raw_Component_3,Raw_Component_4
1931,0.9980528257227699,-0.4974660426301082,0.11299657684061604,-0.0564016340348886,0.14212860112181303,0.03346921789239697
1932,1.18704573595774,0.4004234168062271,0.13467374975050006,0.04659164217468417,0.0934273005173697,-0.000842586245604092
1933,1.5750151201954143,0.028414757983675095,0.1791731937529511,0.003920030265445036,-0.20860677442666373,0.0015266459248232734
1934,1.1290488766927453,-1.1030715035140992,0.1280216063184822,-0.12586819236380178,-0.14344273603843535,-0.04589783707831807
1935,0.09045892355077713,-0.6530222136350172,0.008897063663754574,-0.07424485462071631,-0.09725740923784593,-0.12165270121728268
1936,0.6551231367146327,-0.9338272475065664,0.07366311107557776,-0.106454866789393,0.04638752919510492,-0.007589253799831983
1937,0.7182200363455413,-1.0837354954071177,0.0809002206670238,-0.12365023690968265,0.05544315630560928,0.024192850478164028
1938,1.6544060986449458,-0.42717835203348575,0.18827920712242474,-0.04833921671205308,-0.05338198472929155,0.19682722702299615
1939,1.308052724216186,-0.964129424340365,0.14855305032596303,-0.10993070720114474,-0.09889838145061876,0.20487573190675293
1940,1.1357205459273634,-0.5245676424517651,0.12878683569886776,-0.0595103491743953,-0.04168389011316526,0.1979509783990326
1941,0.9891268593496789,-0.5164520750424605,0.11197278332255897,-0.058579445189500944,0.160307476617626,0.05463402450501167
1942,0.9937125772041089,0.19044850674700312,0.11249875754414661,0.022506267653876314,0.16521556115526412,-0.03399732963951624
1943,1.4768123086617557,1.0622179544529793,0.16790949437287786,0.1225034227324237,0.00991486264553476,-0.06961690384509572
1944,1.2884241542351604,0.5036982424832965,0.1463016859497891,0.05843788063384951,-0.22299279504752847,-0.03672238673637999
1945,0.9470097892924745,-0.976188733914459,0.10714202533829048,-0.1113139819336949,-0.09762685519807224,0.03738611216826899
1946,-0.4595494090463084,-1.3914440476087322,-0.054187978588681955,-0.15894624308937846,-0.11392235307797041,-0.11947717270631812
1947,-1.0473391103072833,-1.1241675807383986,-0.1216064810766425,-0.12828803824312052,-0.10257329107864681,-0.022608429076132034
1948,-1.0249522910624649,-1.2728201956675824,-0.11903875009102559,-0.1453393797727203,-0.12645030333404822,0.005838780895419608
1949,-0.3969288293382211,-1.0714514607524823,-0.04700550210127448,-0.12224118487008408,-0.15612324480430673,-0.12694265797903054
1950,-0.7534807127953354,1.1345798338820223,-0.08790141094481455,0.13080376188526088,-0.05182632736337615,-0.09794048970402294
1951,-1.0604632416853894,1.8788328118018305,-0.12311179714813712,0.21617401734277797,-0.037983258196811434,0.053001284950504796
1952,-1.51419069401261,1.2889784528815718,-0.1751535823443652,0.14851420435217652,-0.06764398625150139,0.12166647693097735
1953,-1.572664314171655,1.2591357801164542,-0.1818604094590892,0.14509107179768685,-0.12209866837185387,0.1563630438777753
1954,-1.3479456731595012,1.0725278915790788,-0.15608555456512363,0.12368603401154295,-0.10518748027166545,0.18341819660641945
1955,-1.0822154396512187,1.0200927105871924,-0.12560673812708217,0.11767140601670432,-0.012096581875850398,0.14796351833987104
1956,-1.1289761951697326,1.635642411882819,-0.1309701191211703,0.18827862803049128,-0.002846238408312461,0.1312991817005589
1957,-1.0707552487704728,-0.07122159223300771,-0.12429227326703347,-0.007508853357737929,-0.00038760523307992907,0.14430621853129322
1958,-0.2660637196452166,-0.6661249845884886,-0.031995491370399455,-0.07574782059691655,0.051471706161809364,0.09327229396922146
1959,0.4604877266412301,-0.3292382556084178,0.051338752805726376,-0.03710490351560282,0.20316471627396043,-0.017474327611452727
1960,0.5767131575675419,1.302216098768978,0.06466961669677442,0.15003264128772315,0.2396047820583113,-0.06210660554054036
1961,1.0063531643940882,1.368006529501095,0.11394861190037073,0.15757919608144288,-0.16770933331138071,-0.12544939073712616
1962,0.5485260222755292,-0.8871419650501753,0.06143659909415857,-0.10109978645024804,-0.1337581303331416,-0.004001257003072244
1963,-0.27003587880151614,-0.8287109865738402,-0.03245109142835736,-0.09439740472367485,-0.07769836975119922,-0.13599852019560169
1964,-1.2174305874583289,1.298983010701308,-0.14111569100476481,0.14966178680350586,-0.04844390292401004,-0.0036308490136385176
1965,-0.8074799832299057,-0.328783296717074,-0.09409503757748798,-0.03705271701728978,-0.07309816160076672,-0.014586331736527796
