Year,Psi_1_Standardized,Raw_Component_1
1931,0.9980528257227699,0.11299657684061604
1932,1.18704573595774,0.13467374975050006
1933,1.5750151201954143,0.1791731937529511
1934,1.1290488766927453,0.1280216063184822
1935,0.09045892355077713,0.008897063663754574
1936,0.6551231367146327,0.07366311107557776
1937,0.7182200363455413,0.0809002206670238
1938,1.6544060986449458,0.18827920712242474
1939,1.308052724216186,0.14855305032596303
1940,1.1357205459273634,0.12878683569886776
1941,0.9891268593496789,0.11197278332255897
1942,0.9937125772041089,0.11249875754414661
1943,1.4768123086617557,0.16790949437287786
1944,1.2884241542351604,0.1463016859497891
1945,0.9470097892924745,0.10714202533829048
1946,-0.4595494090463084,-0.054187978588681955
1947,-1.0473391103072833,-0.1216064810766425
1948,-1.0249522910624649,-0.11903875009102559
1949,-0.3969288293382211,-0.04700550210127448
1950,-0.7534807127953354,-0.08790141094481455
1951,-1.0604632416853894,-0.12311179714813712
1952,-1.51419069401261,-0.1751535823443652
1953,-1.572664314171655,-0.1818604094590892
1954,-1.3479456731595012,-0.15608555456512363
1955,-1.0822154396512187,-0.12560673812708217
1956,-1.1289761951697326,-0.1309701191211703
1957,-1.0707552487704728,-0.12429227326703347
1958,-0.2660637196452166,-0.031995491370399455
1959,0.4604877266412301,0.051338752805726376
1960,0.5767131575675419,0.06466961669677442
1961,1.0063531643940882,0.11394861190037073
1962,0.5485260222755292,0.06143659909415857
1963,-0.27003587880151614,-0.03245109142835736
1964,-1.2174305874583289,-0.14111569100476481
1965,-0.8074799832299057,-0.09409503757748798
1966,-1.2570589189136638,-0.14566099480488875
1967,-1.2350236773151884,-0.14313358919137997
1968,-1.0129169375810723,-0.11765831503595732
1969,-0.7009463770818104,-0.08187580989156794
1970,-0.5400893471149114,-0.06342577571818196
1971,-0.7566657506136255,-0.08826672949261487
1972,-1.1547312890565549,-0.13392418561393357
1973,-1.7387935839853732,-0.20091516078636096
1974,-1.77770704021085,-0.20537846958494033
1975,-1.5783975618592068,-0.18251800344662947
1976,-1.4839253868012945,-0.17168220187419425
1977,-1.1825332506262798,-0.13711302443032936
1978,-0.40973893311722126,-0.04847479972871301
1979,-0.43256392225627976,-0.05109278807345276
1980,0.3982946651471657,0.04420531194741196
1981,-0.24629425648286413,-0.029727966780333636
1982,-0.5414347988445732,-0.06358009679694371
1983,-0.25645389442030764,-0.03089326037784463
1984,0.14104055884382746,0.01469869322196888
1985,0.12952838733486338,0.013378266270197014
1986,1.068158958216289,0.12103763379992655
1987,1.290211916286587,0.14650673928783403
1988,1.7254060869685162,0.19642278786085712
1989,1.5828305395843982,0.18006960937641356
1990,1.5536674500205643,0.17672465143976027
1991,1.5788947094184294,0.17961817619330858
1992,1.205056054695723,0.13673950339681407
1993,0.7514504951716867,0.08471169910266223
1994,0.40037022016609,0.04444337466084
1995,0.9869128422533432,0.11171883923882038
1996,0.9119133769742503,0.10311652513623075
1997,0.41785473995614214,0.04644882004111395
1998,-0.18407434492937735,-0.02259144626479813
1999,0.0864933845090477,0.008442222921942669
2000,-0.1519027152240221,-0.018901413770728907
2001,-0.10480535767843369,-0.013499425083190068
2002,-0.06034651100260448,-0.008400069210169347
2003,-0.06584822943927504,-0.00903110717717525
2004,-0.3268794764061159,-0.03897095766335425
2005,-0.5106849574399329,-0.06005314105955033
2006,-0.23610632243060772,-0.02855942766544998
